c PyNETGEN v1.0.0
c $ pip install pynetgen
c
c  NETGEN flow network generation algorithm
c  Problem input parameters
c  -------------------------------------
c   Random seed:          53077571
c   Number of nodes:      600
c   Source nodes:         10
c   Sink nodes:           10
c   Number of arcs:       10000
c   Minimum arc cost:     1
c   Maximum arc cost:     50
c   Total supply:         15000
c   Transshipment -
c     Sources:            0
c     Sinks:              0
c   Skeleton arcs -
c     With max cost:      50
c     Capacitated:        100
c   Minimum arc capacity: 1
c   Maximum arc capacity: 10
c
c  *** Minimum cost flow ***
c
p min 600 10000
n 1 1307
n 2 2216
n 3 2081
n 4 1421
n 5 1293
n 6 2114
n 7 499
n 8 2174
n 9 591
n 10 1304
n 591 -884
n 592 -1390
n 593 -1511
n 594 -2432
n 595 -3333
n 596 -2127
n 597 -2076
n 598 -174
n 599 -483
n 600 -590
a 1 241 0 1307 50
a 1 361 0 5 27
a 1 93 0 3 30
a 1 258 0 10 22
a 1 372 0 8 29
a 1 255 0 3 21
a 1 155 0 3 2
a 1 82 0 9 37
a 1 435 0 9 12
a 1 459 0 9 38
a 1 365 0 7 28
a 1 301 0 9 4
a 32 353 0 1307 16
a 32 493 0 4 45
a 32 13 0 9 30
a 32 177 0 9 28
a 32 399 0 6 4
a 32 219 0 4 6
a 32 346 0 10 25
a 32 530 0 9 12
a 32 469 0 6 10
a 32 14 0 5 19
a 32 269 0 8 25
a 32 267 0 10 8
a 32 204 0 4 6
a 32 229 0 2 31
a 32 582 0 8 25
a 34 506 0 1307 50
a 34 220 0 10 35
a 34 480 0 1 1
a 34 363 0 1 8
a 34 270 0 8 43
a 34 218 0 8 4
a 34 467 0 9 29
a 34 236 0 1 50
a 34 239 0 2 8
a 34 120 0 5 34
a 34 245 0 2 6
a 34 145 0 10 41
a 34 479 0 3 28
a 34 280 0 9 13
a 34 411 0 7 36
a 34 146 0 3 45
a 55 584 0 1307 47
a 55 317 0 5 37
a 55 155 0 7 21
a 55 98 0 3 42
a 55 25 0 3 45
a 55 528 0 10 25
a 55 289 0 9 3
a 55 135 0 2 15
a 55 367 0 9 38
a 55 368 0 1 35
a 55 60 0 10 33
a 55 376 0 10 47
a 55 356 0 1 5
a 55 268 0 6 30
a 55 258 0 4 12
a 55 225 0 9 35
a 55 65 0 8 31
a 55 271 0 5 39
a 55 207 0 3 38
a 55 165 0 2 5
a 55 115 0 3 25
a 55 386 0 5 47
a 55 166 0 7 4
a 55 48 0 1 11
a 55 414 0 3 14
a 55 154 0 8 15
a 55 33 0 1 9
a 55 582 0 3 17
a 55 132 0 8 40
a 55 224 0 7 34
a 55 594 0 7 37
a 60 264 0 1307 50
a 60 82 0 10 24
a 69 273 0 1307 14
a 69 270 0 5 5
a 69 436 0 4 21
a 69 296 0 2 41
a 69 146 0 1 39
a 69 334 0 4 19
a 69 225 0 1 50
a 69 515 0 9 5
a 69 435 0 3 13
a 69 104 0 6 12
a 69 216 0 7 42
a 69 76 0 9 41
a 69 68 0 4 9
a 69 165 0 3 5
a 69 92 0 5 23
a 115 428 0 1307 18
a 115 372 0 3 36
a 115 405 0 9 36
a 115 35 0 6 24
a 115 566 0 2 25
a 115 291 0 4 46
a 115 314 0 5 15
a 115 338 0 4 4
a 115 564 0 7 46
a 115 80 0 1 2
a 115 537 0 6 27
a 115 219 0 7 1
a 115 413 0 2 36
a 115 72 0 10 10
a 115 108 0 8 18
a 115 381 0 10 13
a 115 352 0 2 21
a 116 125 0 1307 44
a 116 596 0 1 25
a 116 432 0 3 38
a 116 54 0 9 1
a 116 344 0 6 48
a 116 220 0 8 11
a 116 595 0 8 50
a 116 296 0 7 16
a 116 120 0 10 14
a 116 325 0 10 30
a 116 514 0 7 15
a 116 297 0 7 7
a 116 208 0 1 16
a 116 73 0 7 40
a 116 319 0 10 3
a 116 457 0 10 21
a 116 249 0 8 24
a 116 406 0 9 15
a 116 50 0 5 46
a 116 318 0 3 2
a 116 294 0 9 14
a 116 547 0 9 5
a 116 498 0 4 27
a 116 372 0 4 21
a 116 21 0 6 37
a 120 511 0 1307 50
a 120 33 0 3 6
a 125 469 0 1307 45
a 125 99 0 3 46
a 125 413 0 5 5
a 125 248 0 7 26
a 125 80 0 2 39
a 125 142 0 1 14
a 125 260 0 2 9
a 125 292 0 1 50
a 125 253 0 5 20
a 125 520 0 5 27
a 125 404 0 7 15
a 125 247 0 3 45
a 125 575 0 4 31
a 125 557 0 2 23
a 125 347 0 3 7
a 125 23 0 9 18
a 125 168 0 8 18
a 125 519 0 3 43
a 125 58 0 5 5
a 125 39 0 8 25
a 125 163 0 8 28
a 125 277 0 8 42
a 125 548 0 10 27
a 147 562 0 1307 50
a 147 597 0 1307 12
a 147 563 0 1 32
a 147 19 0 4 40
a 147 226 0 9 43
a 147 586 0 6 21
a 147 107 0 1 27
a 147 166 0 8 6
a 147 501 0 9 10
a 147 479 0 6 8
a 147 460 0 10 8
a 147 427 0 10 26
a 147 441 0 9 14
a 147 210 0 8 1
a 147 37 0 6 26
a 147 88 0 3 10
a 147 82 0 7 32
a 179 572 0 1307 6
a 179 306 0 1 18
a 179 287 0 5 49
