c PyNETGEN v1.0.0
c $ pip install pynetgen
c
c  NETGEN flow network generation algorithm
c  Problem input parameters
c  -------------------------------------
c   Random seed:          38373326
c   Number of nodes:      300
c   Source nodes:         8
c   Sink nodes:           9
c   Number of arcs:       2000
c   Minimum arc cost:     2
c   Maximum arc cost:     200
c   Total supply:         120000
c   Transshipment -
c     Sources:            0
c     Sinks:              0
c   Skeleton arcs -
c     With max cost:      50
c     Capacitated:        100
c   Minimum arc capacity: 10
c   Maximum arc capacity: 100
c
c  *** Minimum cost flow ***
c
p min 300 2000
n 1 30889
n 2 12031
n 3 14326
n 4 1728
n 5 10202
n 6 28272
n 7 6505
n 8 16047
n 292 -6110
n 293 -46114
n 294 -7135
n 295 -23924
n 296 -5101
n 297 -5681
n 298 -10361
n 299 -4532
n 300 -11042
a 1 118 0 30889 167
a 1 208 0 31 102
a 1 235 0 62 72
a 1 285 0 47 37
a 69 241 0 30889 200
a 69 110 0 96 158
a 69 129 0 40 132
a 69 115 0 95 140
a 69 103 0 40 165
a 69 49 0 48 33
a 75 69 0 30889 200
a 75 78 0 87 139
a 75 239 0 89 148
a 75 38 0 23 166
a 75 147 0 82 35
a 75 258 0 19 74
a 75 43 0 56 174
a 75 292 0 19 165
a 75 92 0 17 192
a 75 172 0 11 68
a 75 65 0 54 62
a 78 196 0 30889 57
a 78 52 0 80 18
a 78 115 0 11 107
a 78 185 0 63 188
a 78 241 0 62 128
a 78 30 0 82 100
a 79 192 0 30889 200
a 79 48 0 83 144
a 79 23 0 22 199
a 94 109 0 30889 165
a 94 58 0 70 121
a 94 202 0 62 74
a 94 162 0 92 27
a 94 19 0 21 120
a 94 24 0 69 148
a 94 214 0 24 132
a 94 99 0 11 104
a 94 203 0 48 107
a 101 216 0 30889 200
a 101 114 0 79 137
a 101 26 0 84 115
a 101 194 0 55 183
a 101 285 0 75 114
a 101 288 0 74 65
a 101 89 0 82 169
a 101 161 0 59 100
a 101 57 0 71 87
a 109 238 0 30889 161
a 109 158 0 59 81
a 109 90 0 22 185
a 109 27 0 18 106
a 111 189 0 30889 125
a 111 156 0 64 150
a 111 18 0 18 117
a 111 258 0 94 60
a 111 182 0 38 195
a 111 270 0 54 185
a 111 233 0 41 145
a 111 130 0 13 31
a 118 124 0 30889 61
a 118 269 0 74 77
a 118 56 0 94 72
a 118 171 0 99 106
a 118 12 0 92 170
a 118 288 0 82 77
a 124 235 0 30889 70
a 124 143 0 60 109
a 124 13 0 20 180
a 124 163 0 39 22
a 124 226 0 23 68
a 124 261 0 88 129
a 124 140 0 85 68
a 124 246 0 85 42
a 126 94 0 30889 157
a 126 134 0 50 17
a 126 249 0 89 79
a 126 45 0 34 156
a 126 139 0 27 181
a 126 231 0 24 142
a 126 44 0 28 114
a 126 91 0 17 64
a 126 211 0 29 76
a 126 206 0 27 73
a 126 89 0 75 185
a 126 10 0 41 10
a 144 287 0 30889 200
a 144 86 0 81 162
a 144 263 0 76 19
a 144 92 0 19 134
a 144 237 0 31 127
a 144 84 0 48 64
a 144 243 0 54 113
a 144 121 0 55 107
a 144 102 0 67 79
a 144 188 0 55 167
a 183 270 0 30889 25
a 183 219 0 19 16
a 186 101 0 30889 200
a 186 100 0 78 177
a 186 228 0 84 159
a 186 273 0 30 21
a 189 199 0 30889 156
a 189 241 0 75 93
a 192 144 0 30889 97
a 192 291 0 100 33
a 192 137 0 51 199
a 192 72 0 56 58
a 192 143 0 64 194
a 192 209 0 10 100
a 192 229 0 92 153
a 192 159 0 80 183
a 192 244 0 83 200
a 192 38 0 84 172
a 196 251 0 30889 200
a 196 66 0 47 168
a 196 208 0 62 80
a 196 63 0 22 138
a 196 29 0 52 156
a 196 281 0 94 164
a 196 226 0 87 28
a 199 250 0 30889 200
a 199 224 0 58 78
a 199 214 0 32 62
a 199 170 0 42 152
a 199 53 0 20 144
a 199 213 0 78 75
a 213 78 0 30889 200
a 213 164 0 41 103
a 213 143 0 94 140
a 213 271 0 70 31
a 213 24 0 24 64
a 213 13 0 58 121
a 213 72 0 43 54
a 213 61 0 29 74
a 213 40 0 32 116
a 213 74 0 80 29
a 213 70 0 35 140
a 213 178 0 66 85
a 216 288 0 30889 81
a 216 155 0 60 46
a 216 48 0 39 66
a 216 250 0 40 2
a 216 152 0 18 81
a 216 257 0 22 43
a 216 129 0 28 137
a 216 18 0 17 10
a 216 97 0 96 9
a 216 266 0 17 20
a 218 183 0 30889 60
a 218 198 0 83 150
a 218 262 0 90 8
a 218 172 0 56 151
a 218 219 0 95 33
a 235 126 0 30889 200
a 235 192 0 19 30
a 235 252 0 27 71
a 235 80 0 32 47
a 235 175 0 51 52
a 235 224 0 26 79
a 235 46 0 74 198
a 235 130 0 20 109
a 235 50 0 52 178
a 235 286 0 11 190
a 235 39 0 57 121
a 238 111 0 30889 164
a 238 164 0 14 154
a 238 52 0 51 188
a 238 136 0 44 88
a 238 292 0 47 77
a 238 288 0 22 131
a 238 172 0 50 49
a 238 277 0 67 41
a 241 249 0 30889 154
a 241 87 0 16 14
a 241 18 0 93 120
a 241 251 0 42 26
a 241 179 0 84 43
