c PyNETGEN v1.0.0
c $ pip install pynetgen
c
c  NETGEN flow network generation algorithm
c  Problem input parameters
c  -------------------------------------
c   Random seed:          83044945
c   Number of nodes:      120
c   Source nodes:         7
c   Sink nodes:           7
c   Number of arcs:       500
c   Minimum arc cost:     2
c   Maximum arc cost:     200
c   Total supply:         500
c   Transshipment -
c     Sources:            0
c     Sinks:              0
c   Skeleton arcs -
c     With max cost:      50
c     Capacitated:        100
c   Minimum arc capacity: 10
c   Maximum arc capacity: 100
c
c  *** Minimum cost flow ***
c
p min 120 500
n 1 48
n 2 90
n 3 71
n 4 13
n 5 86
n 6 68
n 7 124
n 114 -95
n 115 -62
n 116 -34
n 117 -92
n 118 -130
n 119 -24
n 120 -63
a 1 106 0 48 45
a 1 89 0 70 165
a 1 62 0 25 31
a 1 45 0 45 166
a 1 13 0 87 151
a 8 85 0 48 200
a 8 21 0 36 21
a 8 98 0 54 44
a 11 44 0 48 119
a 11 40 0 22 73
a 16 111 0 48 182
a 16 65 0 23 157
a 16 86 0 83 14
a 16 116 0 76 137
a 16 105 0 35 3
a 16 76 0 40 9
a 16 38 0 32 25
a 22 26 0 48 200
a 22 93 0 68 133
a 26 117 0 48 200
a 26 8 0 48 200
a 26 68 0 12 111
a 26 112 0 62 162
a 34 48 0 48 200
a 34 88 0 82 177
a 34 117 0 33 2
a 38 86 0 48 49
a 38 114 0 42 27
a 38 14 0 37 159
a 38 112 0 46 199
a 38 21 0 52 9
a 43 16 0 48 194
a 43 42 0 73 104
a 43 38 0 63 120
a 44 43 0 48 39
a 44 76 0 14 110
a 44 85 0 10 188
a 44 71 0 18 8
a 44 58 0 62 70
a 44 67 0 100 117
a 44 35 0 77 147
a 48 11 0 48 200
a 48 32 0 41 167
a 50 56 0 48 23
a 50 70 0 31 79
a 50 89 0 60 140
a 56 38 0 48 95
a 56 19 0 54 133
a 56 24 0 47 64
a 56 78 0 87 78
a 85 34 0 48 54
a 85 19 0 30 67
a 85 42 0 45 51
a 85 78 0 69 117
a 85 100 0 90 4
a 86 22 0 48 200
a 86 104 0 29 192
a 86 114 0 76 98
a 86 113 0 74 60
a 86 10 0 59 72
a 86 108 0 98 6
a 106 50 0 48 200
a 106 95 0 98 19
a 108 116 0 48 146
a 108 97 0 62 104
a 108 18 0 49 25
a 108 73 0 33 31
a 108 96 0 49 186
a 108 87 0 70 75
a 108 113 0 53 174
a 111 108 0 48 167
a 111 79 0 25 76
a 111 47 0 12 199
a 111 19 0 25 48
a 111 34 0 27 187
a 111 81 0 67 103
a 111 75 0 16 41
a 2 42 0 90 200
a 2 95 0 60 143
a 2 25 0 40 198
a 18 40 0 90 81
a 18 111 0 36 121
a 18 37 0 49 51
a 18 118 0 76 108
a 18 28 0 81 9
a 18 76 0 59 116
a 18 110 0 76 181
a 24 80 0 90 200
a 24 114 0 90 200
a 24 30 0 56 132
a 24 27 0 52 153
a 24 107 0 37 8
a 24 92 0 37 28
a 40 98 0 90 104
a 40 103 0 19 41
a 40 86 0 67 112
a 40 99 0 100 173
a 40 69 0 85 157
a 42 88 0 90 98
a 42 92 0 26 135
a 42 54 0 21 154
a 42 97 0 44 127
a 42 99 0 79 179
a 42 93 0 13 197
a 42 21 0 38 138
a 46 65 0 90 200
a 46 11 0 26 143
a 46 28 0 76 146
a 46 53 0 25 166
a 60 61 0 90 64
a 60 84 0 81 157
a 60 98 0 32 44
a 61 18 0 90 200
a 61 99 0 37 14
a 61 102 0 36 45
a 61 116 0 29 89
a 61 47 0 96 188
a 61 9 0 89 139
a 61 28 0 69 170
a 65 24 0 90 200
a 65 40 0 98 166
a 80 120 0 90 200
a 80 38 0 22 32
a 80 39 0 18 153
a 80 96 0 17 172
a 80 50 0 43 122
a 80 106 0 43 36
a 88 60 0 90 81
a 88 72 0 50 143
a 98 113 0 90 200
a 98 112 0 22 113
a 113 46 0 90 200
a 113 24 0 23 61
a 113 111 0 63 87
a 3 97 0 71 200
a 3 53 0 87 76
a 3 41 0 37 163
a 3 10 0 95 57
a 3 42 0 38 51
a 10 117 0 71 154
a 10 107 0 71 200
a 10 85 0 16 15
a 10 99 0 49 145
a 10 73 0 13 128
a 10 75 0 74 52
a 27 52 0 71 200
a 27 33 0 51 46
a 27 47 0 43 127
a 27 18 0 57 158
a 27 104 0 100 110
a 32 120 0 71 200
a 32 23 0 80 31
a 32 66 0 80 90
a 32 115 0 85 103
a 32 74 0 93 102
a 36 45 0 71 27
a 36 98 0 55 179
a 45 68 0 71 200
a 45 85 0 77 176
a 45 82 0 53 149
a 45 70 0 69 81
a 45 80 0 66 193
a 45 99 0 86 65
a 52 32 0 71 200
a 52 116 0 59 166
a 52 99 0 78 134
a 52 17 0 40 7
a 68 104 0 71 180
a 68 116 0 30 71
a 68 103 0 77 108
a 68 26 0 57 150
a 68 31 0 100 188
a 68 118 0 17 45
a 68 105 0 24 197
a 73 27 0 71 200
a 73 25 0 49 185
a 92 10 0 71 200
a 92 55 0 74 8
a 92 40 0 47 145
a 92 31 0 42 193
a 92 112 0 11 110
a 92 120 0 24 5
a 92 32 0 65 14
a 97 92 0 71 112
